HeaderID,Bay_Segment
890,Hillsborough Bay
891,Middle Tampa Bay
892,Old Tampa Bay
893,Hillsborough Bay
894,Middle Tampa Bay
895,Lower Tampa Bay
896,Lower Tampa Bay
897,Middle Tampa Bay
898,Middle Tampa Bay
899,Middle Tampa Bay
900,Middle Tampa Bay
901,Manatee River
902,Manatee River
903,Terra Ceia Bay
904,Terra Ceia Bay
905,Lower Tampa Bay
906,Lower Tampa Bay
907,Middle Tampa Bay
908,Middle Tampa Bay
909,Middle Tampa Bay
910,Middle Tampa Bay
911,Manatee River
912,Manatee River
913,Terra Ceia Bay
914,Terra Ceia Bay
915,Lower Tampa Bay
916,Middle Tampa Bay
917,Middle Tampa Bay
918,Manatee River
919,Terra Ceia Bay
920,Hillsborough Bay
921,Hillsborough Bay
922,Hillsborough Bay
923,Boca Ciega Bay
924,Boca Ciega Bay
925,Old Tampa Bay
926,Old Tampa Bay
927,Old Tampa Bay
928,Lower Tampa Bay
929,Lower Tampa Bay
930,Manatee River
931,Manatee River
932,Manatee River
933,Manatee River
934,Manatee River
935,Lower Tampa Bay
936,Lower Tampa Bay
937,Middle Tampa Bay
938,Middle Tampa Bay
939,Lower Tampa Bay
940,Manatee River
941,Manatee River
942,Manatee River
943,Terra Ceia Bay
944,Lower Tampa Bay
945,Manatee River
946,Manatee River
947,Lower Tampa Bay
948,Lower Tampa Bay
949,Lower Tampa Bay
950,Lower Tampa Bay
951,Lower Tampa Bay
952,Lower Tampa Bay
953,Lower Tampa Bay
954,Lower Tampa Bay
955,Manatee River
956,Manatee River
957,Manatee River
958,Manatee River
959,Lower Tampa Bay
960,Lower Tampa Bay
961,Lower Tampa Bay
962,Lower Tampa Bay
963,Lower Tampa Bay
964,Manatee River
965,Manatee River
966,Manatee River
967,Lower Tampa Bay
968,Lower Tampa Bay
969,All Segments
970,Lower Tampa Bay
971,Manatee River
972,All Segments
973,All Segments
974,Hillsborough Bay
975,Hillsborough Bay
978,All Segments
979,All Segments
980,Boca Ciega Bay
981,Boca Ciega Bay
982,All Segments
983,All Segments
984,All Segments
985,Boca Ciega Bay
986,Boca Ciega Bay
987,Hillsborough Bay
988,Boca Ciega Bay
989,Old Tampa Bay
990,Hillsborough Bay
991,Hillsborough Bay
992,Hillsborough Bay
993,Hillsborough Bay
994,Hillsborough Bay
995,Hillsborough Bay
996,Middle Tampa Bay
997,Hillsborough Bay
998,Old Tampa Bay
999,Boca Ciega Bay
1000,Hillsborough Bay
1001,Hillsborough Bay
1002,Hillsborough Bay
1003,Hillsborough Bay
1004,All Segments
1006,Boca Ciega Bay
1007,Boca Ciega Bay
1008,Boca Ciega Bay
1010,Manatee River
1011,Old Tampa Bay
1012,Old Tampa Bay
1013,Boca Ciega Bay
1014,Manatee River
1015,Terra Ceia Bay
1016,Manatee River
1017,Old Tampa Bay
1018,Hillsborough Bay
